[Gene ID]	[source_id]	[Gene Name or Symbol]	[Organism]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Function IDs]	[Computed GO Functions]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Function IDs]	[Curated GO Functions]	[Curated GO Process IDs]	[Curated GO Processes]	[EC numbers]	[EC numbers from OrthoMCL]	
CNAG_05087	CNAG_05087-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05089	CNAG_05089-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05089	CNAG_05089-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05090	CNAG_05090-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491, GO:0016747, GO:0008270	oxidoreductase activity, transferase activity, transferring acyl groups other than amino-acyl groups, zinc ion binding	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.-.-.- (Oxidoreductases.)	
CNAG_05091	CNAG_05091-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05092	CNAG_05092-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05093	CNAG_05093-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003677	DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05095	CNAG_05095-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.- (With NAD(+) or NADP(+) as acceptor.)	
CNAG_05096	CNAG_05096-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.98 (Histone deacetylase)	
CNAG_05096	CNAG_05096-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.98 (Histone deacetylase)	
CNAG_05096	CNAG_05096-t26_3	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.98 (Histone deacetylase)	
CNAG_05097	CNAG_05097-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.93 (ATP-dependent NAD(P)H-hydrate dehydratase)	
CNAG_05098	CNAG_05098-t26_1	HUB1	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05099	CNAG_05099-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05100	CNAG_05100-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05101	CNAG_05101-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05102	CNAG_05102-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003677, GO:0016818, GO:0003676, GO:0005515, GO:0008270	ATP binding, DNA binding, hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides, nucleic acid binding, protein binding, zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.)	
CNAG_05103	CNAG_05103-t26_1	N/A	C. neoformans var. grubii H99	GO:0005674	transcription factor TFIIF complex	GO:0005524, GO:0003824	ATP binding, catalytic activity	GO:0006367	transcription initiation from RNA polymerase II promoter	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.12 (DNA helicase)	
CNAG_05104	CNAG_05104-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0004672, GO:0016772	ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05104	CNAG_05104-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0004672, GO:0016772	ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05105	CNAG_05105-t26_1	LIV12	C. neoformans var. grubii H99	GO:0005737, GO:0005852	cytoplasm, eukaryotic translation initiation factor 3 complex	GO:0003743	translation initiation factor activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05106	CNAG_05106-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003747	translation release factor activity	GO:0006415	translational termination	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05107	CNAG_05107-t26_1	N/A	C. neoformans var. grubii H99	GO:0016272	prefoldin complex	GO:0051082	unfolded protein binding	GO:0006457	protein folding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05109	CNAG_05109-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0030554, GO:0005515	adenyl nucleotide binding, protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05109	CNAG_05109-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0030554, GO:0005515	adenyl nucleotide binding, protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05110	CNAG_05110-t26_1	N/A	C. neoformans var. grubii H99	GO:0005622, GO:0005840	intracellular, ribosome	GO:0003723, GO:0003676, GO:0003735	RNA binding, nucleic acid binding, structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05111	CNAG_05111-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05112	CNAG_05112-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05113	CNAG_05113-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.2.1.3 (Aldehyde dehydrogenase (NAD(+)))	
CNAG_05114	CNAG_05114-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005507, GO:0008131, GO:0048038	copper ion binding, primary amine oxidase activity, quinone binding	GO:0009308, GO:0055114	amine metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.4.3.- (With oxygen as acceptor.)	
CNAG_05115	CNAG_05115-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.5.3.7 (L-pipecolate oxidase)	
CNAG_05116	CNAG_05116-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003677, GO:0003887	DNA binding, DNA-directed DNA polymerase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.7.31 (DNA nucleotidylexotransferase)	
CNAG_05117	CNAG_05117-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05118	CNAG_05118-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05119	CNAG_05119-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0015171	amino acid transmembrane transporter activity	GO:0003333	amino acid transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05120	CNAG_05120-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004516, GO:0004514	nicotinate phosphoribosyltransferase activity, nicotinate-nucleotide diphosphorylase (carboxylating) activity	GO:0009435, GO:0019357	NAD biosynthetic process, nicotinate nucleotide biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.3.4.21 (Nicotinate phosphoribosyltransferase)	
CNAG_05121	CNAG_05121-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05122	CNAG_05122-t26_1	N/A	C. neoformans var. grubii H99	GO:0005737	cytoplasm	GO:0004414	homoserine O-acetyltransferase activity	GO:0009086	methionine biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.31 (Homoserine O-acetyltransferase)	
CNAG_05123	CNAG_05123-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05124	CNAG_05124-t26_1	SEY1	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0042493	response to drug	N/A	3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.)	
CNAG_05125	CNAG_05125-t26_1	N/A	C. neoformans var. grubii H99	GO:0005829	cytosol	GO:0005524, GO:0016831, GO:0004163	ATP binding, carboxy-lyase activity, diphosphomevalonate decarboxylase activity	GO:0019287, GO:0008299	isopentenyl diphosphate biosynthetic process, mevalonate pathway, isoprenoid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.1.33 (Diphosphomevalonate decarboxylase)	
CNAG_05129	CNAG_05129-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05130	CNAG_05130-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05131	CNAG_05131-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05132	CNAG_05132-t26_1	N/A	C. neoformans var. grubii H99	GO:0005740	mitochondrial envelope	GO:0004129	cytochrome-c oxidase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.9.3.1 (Cytochrome-c oxidase)	
CNAG_05134	CNAG_05134-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0030170, GO:0008483	pyridoxal phosphate binding, transaminase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.6.1.11 (Acetylornithine transaminase)	
CNAG_05135	CNAG_05135-t26_1	PMR1	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0019829, GO:0046872, GO:0000166	cation-transporting ATPase activity, metal ion binding, nucleotide binding	GO:0006812	cation transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.8 (Calcium-transporting ATPase)	
CNAG_05136	CNAG_05136-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0016887, GO:0019829, GO:0046872, GO:0000166	ATPase activity, cation-transporting ATPase activity, metal ion binding, nucleotide binding	GO:0006812	cation transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.- (Acting on acid anhydrides; catalyzing transmembrane movement of substances.)	
CNAG_05137	CNAG_05137-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0046923	ER retention sequence binding	GO:0006621	protein retention in ER lumen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05138	CNAG_05138-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05139	CNAG_05139-t26_1	UGT1	C. neoformans var. grubii H99	GO:0000139, GO:0016021	Golgi membrane, integral component of membrane	GO:0005338, GO:0005351	nucleotide-sugar transmembrane transporter activity, sugar:proton symporter activity	GO:0008643, GO:0015780	carbohydrate transport, nucleotide-sugar transport	GO:0005794	Golgi apparatus	GO:0005463, GO:0005459	UDP-N-acetylgalactosamine transmembrane transporter activity, UDP-galactose transmembrane transporter activity	GO:0045230, GO:0000902, GO:0007618, GO:0009405	capsule organization, cell morphogenesis, mating, pathogenesis	N/A	N/A	
CNAG_05139	CNAG_05139-t26_2	UGT1	C. neoformans var. grubii H99	GO:0000139, GO:0016021	Golgi membrane, integral component of membrane	GO:0005338, GO:0005351	nucleotide-sugar transmembrane transporter activity, sugar:proton symporter activity	GO:0008643, GO:0015780	carbohydrate transport, nucleotide-sugar transport	GO:0005794	Golgi apparatus	GO:0005463, GO:0005459	UDP-N-acetylgalactosamine transmembrane transporter activity, UDP-galactose transmembrane transporter activity	GO:0045230, GO:0000902, GO:0007618, GO:0009405	capsule organization, cell morphogenesis, mating, pathogenesis	N/A	N/A	
CNAG_05140	CNAG_05140-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity	GO:0006555, GO:0055114	methionine metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.5.1.20 (Methylenetetrahydrofolate reductase (NAD(P)H))	
CNAG_05141	CNAG_05141-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0015095	magnesium ion transmembrane transporter activity	GO:0015693	magnesium ion transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05142	CNAG_05142-t26_1	N/A	C. neoformans var. grubii H99	GO:0005783, GO:0016021	endoplasmic reticulum, integral component of membrane	GO:0016758	transferase activity, transferring hexosyl groups	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.258 (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase)	
CNAG_05144	CNAG_05144-t26_1	CAN2	C. neoformans var. grubii H99	N/A	N/A	GO:0004089, GO:0008270	carbonate dehydratase activity, zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.1 (Carbonate dehydratase)	
CNAG_05145	CNAG_05145-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.)	
CNAG_05146	CNAG_05146-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003677, GO:0003899, GO:0003676, GO:0008270	DNA binding, DNA-directed RNA polymerase activity, nucleic acid binding, zinc ion binding	GO:0006351	transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.7.6 (DNA-directed RNA polymerase)	
CNAG_05147	CNAG_05147-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05148	CNAG_05148-t26_1	CXT1	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.- (Hexosyltransferases.)	
CNAG_05149	CNAG_05149-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021, GO:0031966	integral component of membrane, mitochondrial membrane	GO:0004659, GO:0008495	prenyltransferase activity, protoheme IX farnesyltransferase activity	GO:0006783	heme biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.5.1.- (Transferring alkyl or aryl groups, other than methyl groups.)	
CNAG_05150	CNAG_05150-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0005524, GO:0016887, GO:0042626	ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances	GO:0055085, GO:0006810	transmembrane transport, transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.- (Acting on acid anhydrides; catalyzing transmembrane movement of substances.)	
CNAG_05151	CNAG_05151-t26_1	N/A	C. neoformans var. grubii H99	GO:0032040	small-subunit processome	N/A	N/A	GO:0006364	rRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05152	CNAG_05152-t26_1	LRO1	C. neoformans var. grubii H99	N/A	N/A	GO:0008374	O-acyltransferase activity	GO:0006629	lipid metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.158 (Phospholipid:diacylglycerol acyltransferase)	
CNAG_05153	CNAG_05153-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0043565, GO:0003700, GO:0008270	sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05154	CNAG_05154-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05155	CNAG_05155-t26_1	PTP2	C. neoformans var. grubii H99	N/A	N/A	GO:0016791, GO:0004725	phosphatase activity, protein tyrosine phosphatase activity	GO:0016311, GO:0006470	dephosphorylation, protein dephosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.3.48 (Protein-tyrosine-phosphatase)	
CNAG_05156	CNAG_05156-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05156	CNAG_05156-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05157	CNAG_05157-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05158	CNAG_05158-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05158	CNAG_05158-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05159	CNAG_05159-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05159	CNAG_05159-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05160	CNAG_05160-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05161	CNAG_05161-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05161	CNAG_05161-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05162	CNAG_05162-t26_1	N/A	C. neoformans var. grubii H99	GO:0033179	proton-transporting V-type ATPase, V0 domain	GO:0015078	hydrogen ion transmembrane transporter activity	GO:0015991	ATP hydrolysis coupled proton transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.14 (H(+)-transporting two-sector ATPase)	
CNAG_05163	CNAG_05163-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.13.1 (Exoribonuclease II)	
CNAG_05164	CNAG_05164-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05165	CNAG_05165-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05166	CNAG_05166-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003677	ATP binding, DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.12 (DNA helicase)	
CNAG_05167	CNAG_05167-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05168	CNAG_05168-t26_1	N/A	C. neoformans var. grubii H99	GO:0042597	periplasmic space	GO:0016829	lyase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05168	CNAG_05168-t26_2	N/A	C. neoformans var. grubii H99	GO:0042597	periplasmic space	GO:0016829	lyase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05169	CNAG_05169-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0010181, GO:0020037, GO:0016491	FMN binding, heme binding, oxidoreductase activity	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.3.15 ((S)-2-hydroxy-acid oxidase)	
CNAG_05170	CNAG_05170-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0000981, GO:0008270	RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05171	CNAG_05171-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003676	nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.13.4 (Poly(A)-specific ribonuclease)	
CNAG_05172	CNAG_05172-t26_1	N/A	C. neoformans var. grubii H99	GO:0016459	myosin complex	GO:0005524, GO:0003774, GO:0005515	ATP binding, motor activity, protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.1 (Myosin ATPase)	
CNAG_05173	CNAG_05173-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	GO:0006281, GO:0006284	DNA repair, base-excision repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.2.2.21 (DNA-3-methyladenine glycosylase II)	
CNAG_05176	CNAG_05176-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003677	DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05177	CNAG_05177-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003887, GO:0003684	DNA-directed DNA polymerase activity, damaged DNA binding	GO:0006281	DNA repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.7.7 (DNA-directed DNA polymerase)	
CNAG_05178	CNAG_05178-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05179	CNAG_05179-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824, GO:0046872	catalytic activity, metal ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05180	CNAG_05180-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05181	CNAG_05181-t26_1	BWC1	C. neoformans var. grubii H99	N/A	N/A	GO:0005515, GO:0004871	protein binding, signal transducer activity	GO:0007165	signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05182	CNAG_05182-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	GO:0007050	cell cycle arrest	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05183	CNAG_05183-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0004222	metalloendopeptidase activity	GO:0006508	proteolysis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05184	CNAG_05184-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016757	transferase activity, transferring glycosyl groups	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05185	CNAG_05185-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05185	CNAG_05185-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05186	CNAG_05186-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0008270	zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05187	CNAG_05187-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05188	CNAG_05188-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016757	transferase activity, transferring glycosyl groups	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05188	CNAG_05188-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016757	transferase activity, transferring glycosyl groups	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05189	CNAG_05189-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_05190	CNAG_05190-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
